distance_km,budget_limit,num_people,rainfall_mm,road_access_rating,transport_mode
341.99,15178.39,2,27.4,2,car
11.42,1127.15,1,0.65,4,bike
5.7,2980.33,3,0.7,5,auto
73.08,5015.07,2,1.78,4,bus
241.9,18755.22,4,15.27,1,car
79.28,5285.55,3,12.54,1,car
271.89,4518.7,3,15.28,3,bus
268.44,9404.67,5,20.22,2,car
3.43,2280.04,1,0.81,2,bike
7.5,2201.14,1,7.8,3,bike
71.43,19969.76,3,5.28,2,car
339.6,23594.63,3,8.94,1,car
128.97,4137.03,3,16.12,1,car
1.15,842.21,2,6.99,5,bike
6.65,1051.4,1,1.63,4,bike
209.55,12150.79,3,8.32,3,car
75.72,18952.17,5,3.79,3,car
10.68,1278.72,2,6.22,3,auto
274.99,2960.52,5,14.85,3,bus
18.69,12749.36,5,4.83,4,car
125.15,17845.89,2,1.85,2,car
13.17,3680.85,2,10.15,5,auto
11.15,2188.97,1,6.14,3,auto
4.16,2257.36,1,3.89,3,bike
163.43,3193.19,3,19.87,5,bus
2.53,1479.08,1,7.65,2,bike
6.44,914.98,3,3.21,5,auto
13.39,3939.66,2,3.89,2,auto
10.76,2200.35,1,6.02,4,bike
16.5,1324.42,2,12.15,4,auto
2.92,1895.83,1,14.5,4,auto
2.97,2993.27,1,2.57,4,auto
171.65,3832.41,2,11.64,5,bus
275.22,1996.83,2,7.38,4,bus
155.81,22797.1,4,2.53,5,car
2.22,1056.71,2,0.24,4,auto
4.35,855.62,1,2.43,4,bike
126.53,1477.57,4,14.3,5,bus
9.59,823.47,1,8.3,5,auto
14.83,841.1,1,3.23,3,bike
337.23,17704.64,3,6.32,2,car
96.13,7605.91,2,23.82,5,car
218.63,1474.31,4,9.38,3,bus
87.86,3984.9,4,14.76,5,bus
4.39,531.01,1,2.41,4,bike
9.6,2648.91,1,7.65,2,bike
320.13,16922.3,4,24.37,3,car
12.51,1451.05,1,7.72,5,bike
9.2,1879.85,3,1.25,5,auto
207.04,1599.97,3,3.41,3,bus
12.56,2455.07,1,0.29,2,bike
166.48,6803.83,5,26.63,3,car
291.48,6644.75,5,16.76,5,car
7.02,1572.8,1,6.37,5,auto
9.2,2653.65,2,1.48,4,auto
17.52,2628.03,1,5.62,4,auto
182.21,5000.5,2,12.63,4,bus
128.62,6332.33,3,23.19,4,car
99.64,13172.32,4,18.34,3,car
209.57,19002.14,5,18.91,1,car
141.35,22970.06,5,29.34,3,car
149.7,3190.73,4,12.63,4,bus
8.21,1398.08,1,1.31,4,bike
297.39,14929.58,4,6.83,1,car
5.7,2407.77,2,14.37,2,auto
241.42,9223.23,2,24.18,2,car
11.32,1987.75,2,10.58,2,auto
13.43,3228.82,1,7.71,2,auto
232.59,3788.87,2,10.26,3,bus
14.86,500.59,1,3.07,5,bike
14.36,2015.44,1,5.37,5,bike
129.58,21477.02,2,24.62,2,car
4.17,1432.45,1,3.94,5,auto
10.97,3564.68,2,13.47,5,auto
147.98,2306.15,2,0.21,4,bus
5.37,1497.61,2,0.07,2,bike
2.8,1325.25,1,0.74,4,bike
8.18,2436.08,2,8.66,4,auto
140.1,12054.22,2,25.03,3,car
8.04,3796.23,2,1.74,4,auto
79.92,8505.86,3,7.09,4,car
7.34,3144.64,2,1.03,4,auto
13.06,1669.23,1,2.77,3,auto
2.49,1339.15,1,5.17,5,bike
91.8,5202.9,3,10.29,5,bus
113.21,4124.41,3,28.89,4,car
132.94,4044.12,4,7.12,3,bus
26.24,15768.38,5,1.47,4,car
47.17,1289.07,5,9.19,3,bus
4.51,2082.75,1,4.59,2,bike
296.13,4671.88,2,9.86,1,car
54.75,1546.37,2,11.83,3,bus
4.3,2705.15,1,13.88,5,auto
162.66,14058.38,5,6.11,2,car
259.72,4846.83,2,26.05,1,car
14.89,2178.64,1,7.03,5,bike
290.37,2537.07,2,5.38,4,bus
5.37,1533.97,2,4.03,3,auto
233.68,4610.12,2,17.33,4,bus
5.56,1783.09,2,6.26,5,auto
55.52,5652.65,4,10.88,5,car
115.69,1825.41,3,13.71,4,bus
12.09,1503.06,1,12.4,5,auto
91.95,9033.89,2,13.3,5,car
217.95,3944.56,1,11.38,4,bus
6.25,2573.88,1,4.41,5,auto
12.83,3481.31,3,11.23,2,auto
210.45,5292.69,5,21.61,2,car
211.0,14776.57,4,29.12,1,car
298.72,2293.8,3,4.73,5,bus
280.3,1560.76,4,6.46,4,bus
6.69,3274.05,2,5.22,3,auto
4.09,705.95,1,5.24,4,bike
108.35,4550.25,2,17.78,3,bus
12.26,1846.0,1,5.9,2,bike
5.31,1856.35,1,5.09,3,bike
11.81,567.92,1,3.71,5,bike
218.04,2134.78,2,13.33,3,bus
16.85,3503.56,1,3.59,4,auto
7.7,850.6,1,13.67,4,auto
268.66,10418.62,2,26.01,5,car
248.23,8327.55,3,21.35,5,car
10.94,1898.14,2,9.78,5,auto
1.17,1996.11,1,5.73,4,bike
8.65,2172.62,2,10.45,4,auto
8.63,2961.67,2,0.35,3,bike
1.05,1668.28,1,6.82,3,bike
272.53,3008.6,5,11.93,5,bus
148.68,3245.36,4,13.69,4,bus
158.03,2485.7,2,16.8,4,bus
10.74,848.33,1,4.32,2,bike
79.9,11262.4,4,8.93,2,car
7.14,2180.07,1,1.24,3,bike
9.33,2041.51,1,2.39,5,bike
2.19,2992.19,1,4.76,2,bike
10.56,1262.04,2,6.29,4,auto
254.67,5452.66,4,25.0,2,car
211.85,2305.2,2,15.16,4,bus
2.46,2310.85,1,2.19,3,bike
8.08,2601.76,1,4.34,2,bike
294.69,3978.15,2,13.65,3,bus
12.12,1210.64,2,10.4,2,auto
1.28,760.27,1,1.43,2,bike
14.53,3088.12,2,13.44,5,auto
113.08,2419.9,5,17.7,3,bus
289.79,8395.76,4,13.07,2,car
195.2,10503.32,5,0.29,4,car
11.3,1089.64,1,0.5,5,bike
11.88,1896.01,1,7.25,4,bike
296.85,16175.1,3,9.76,1,car
14.37,2467.26,1,5.51,5,bike
178.39,17243.36,4,7.5,1,car
12.19,2236.74,1,4.72,4,bike
210.16,18675.51,5,20.02,2,car
205.21,5064.73,4,9.96,4,bus
339.55,24829.75,3,27.96,5,car
1.61,2082.88,2,4.81,3,bike
234.1,1660.13,2,18.9,3,bus
7.35,2062.63,2,2.42,3,auto
257.1,4743.74,2,11.76,3,bus
9.4,3939.16,2,12.95,4,auto
6.91,2127.91,2,5.79,5,auto
315.24,20940.86,3,24.05,2,car
2.37,3219.88,2,4.34,2,auto
6.41,3259.46,1,10.39,5,auto
100.41,2474.86,2,8.01,5,bus
7.73,2963.22,1,6.0,2,bike
7.46,2236.09,3,2.84,5,auto
181.52,19808.99,3,4.64,4,car
16.73,928.19,1,3.11,3,auto
143.62,1588.03,2,18.34,4,bus
271.04,1883.32,5,9.89,4,bus
1.97,1592.91,1,3.24,3,bike
228.55,3006.8,1,8.04,4,bus
6.88,2763.4,1,1.53,4,bike
68.63,4105.77,3,4.93,5,bus
118.65,1193.95,5,17.06,5,bus
6.72,1543.63,1,12.05,3,auto
15.5,3939.82,2,12.81,5,auto
30.5,9591.16,5,28.84,5,car
79.28,1649.08,3,19.52,5,bus
12.99,2146.73,1,0.56,4,bike
43.95,20784.0,2,14.06,5,car
4.99,592.22,1,4.02,3,bike
103.97,20111.9,2,2.25,4,car
288.65,1979.71,4,3.89,5,bus
332.21,9054.96,3,20.82,4,car
9.93,1142.21,1,0.47,2,bike
13.71,1290.49,1,5.46,5,bike
11.83,1406.89,2,1.76,3,bike
50.25,2046.86,2,3.8,3,bus
208.18,1234.11,5,2.2,5,bus
88.72,12159.15,5,24.97,3,car
2.04,1065.88,1,4.79,4,bike
344.02,24643.42,2,13.33,3,car
310.92,14410.06,2,20.48,2,car
318.5,22134.48,3,2.03,5,car
14.5,2650.55,1,12.17,5,auto
12.04,1793.17,1,1.18,4,bike
24.94,3326.53,1,0.32,5,bus
11.79,766.5,1,5.83,2,bike
81.55,9894.9,3,2.1,3,car
176.83,2739.08,1,14.95,5,bus
16.71,3978.42,1,11.42,2,auto
213.74,1701.33,1,18.41,3,bus
97.6,3023.55,3,14.72,4,bus
12.88,841.55,1,4.42,3,bike
7.48,2670.68,1,5.94,5,bike
246.36,14782.12,3,11.19,1,car
1.67,1915.09,1,0.96,2,bike
3.29,910.66,1,5.32,3,bike
146.66,4301.39,5,1.95,3,bus
56.03,15214.76,5,17.52,2,car
128.43,4529.83,2,3.62,5,bus
327.89,7855.17,4,13.16,3,car
15.92,3137.59,2,11.94,4,auto
1.58,870.86,2,7.72,4,bike
11.99,2172.47,1,2.98,2,bike
115.17,10648.56,3,8.32,5,car
252.41,6403.2,4,27.63,1,car
1.41,917.21,1,3.1,2,bike
16.89,3445.49,1,8.47,3,auto
3.42,1584.63,1,4.93,2,bike
166.45,22001.05,4,9.58,5,car
208.17,3859.43,4,16.5,5,bus
7.36,1014.45,3,12.25,5,auto
178.34,18650.57,4,23.44,5,car
283.18,2543.62,2,9.13,3,bus
290.06,2302.46,4,15.54,5,bus
10.37,1669.72,2,8.98,2,auto
5.52,1796.98,1,2.91,2,bike
265.45,4279.91,4,18.33,4,bus
254.43,23691.8,4,16.46,5,car
148.34,3379.18,2,12.78,3,bus
11.06,3609.71,2,14.4,2,auto
151.97,3126.32,4,10.35,3,bus
13.24,3977.01,1,4.12,2,auto
164.31,5036.34,5,22.99,2,car
79.16,14589.53,2,1.09,5,car
135.05,7847.16,2,14.42,4,car
66.48,22122.24,2,23.52,1,car
13.42,2449.69,1,0.67,5,bike
33.89,11757.04,2,19.73,2,car
9.68,1833.65,2,6.31,3,bike
12.7,1089.48,1,3.24,3,bike
2.95,3014.56,1,6.24,5,auto
16.31,2259.13,2,9.03,4,auto
283.86,21759.88,2,2.87,5,car
12.75,2663.07,3,3.59,5,auto
18.12,13290.27,5,8.54,3,car
2.09,2290.64,2,4.56,2,auto
12.64,1182.68,1,2.39,2,bike
7.01,3324.58,3,6.51,2,auto
48.06,16175.91,5,6.58,3,car
8.2,3525.89,2,1.16,2,auto
8.35,2272.62,1,4.54,3,bike
321.4,8381.69,5,17.4,4,car
4.18,1354.19,1,2.77,2,bike
4.48,1944.08,1,0.27,2,bike
105.76,2192.87,2,18.6,5,bus
211.53,17111.83,4,27.18,3,car
178.19,1396.64,1,14.55,3,bus
13.14,1946.69,1,5.8,5,bike
142.96,24093.11,5,22.29,5,car
2.11,1479.83,2,6.17,3,auto
15.42,1939.79,3,10.64,3,auto
313.22,9677.32,3,15.26,4,car
2.34,559.1,1,4.86,5,bike
68.14,10566.34,5,6.65,1,car
197.25,15755.71,5,6.97,2,car
10.3,1586.71,2,14.84,4,auto
6.93,1219.82,1,7.29,5,bike
5.55,2215.82,1,1.4,2,bike
170.67,3289.18,2,1.89,3,bus
58.91,20089.3,5,7.95,3,car
2.24,2479.54,1,3.84,4,bike
8.36,3239.39,2,4.01,2,auto
60.89,18424.2,2,8.22,2,car
129.25,20869.4,4,13.12,2,car
186.18,1945.53,4,7.79,4,bus
162.93,2164.57,4,2.31,4,bus
11.68,1520.77,1,7.23,2,bike
9.35,1864.22,1,0.12,4,bike
3.32,2350.52,2,8.45,5,auto
6.72,563.47,1,5.73,2,bike
7.22,3486.91,1,6.45,4,auto
2.65,2349.33,1,7.91,2,bike
29.69,10859.06,2,3.86,3,car
10.57,1742.94,1,6.95,5,bike
72.5,4377.69,2,5.22,5,bus
14.56,2374.13,1,6.07,4,bike
102.94,5099.29,2,8.22,3,car
18.58,20307.71,4,24.18,4,car
6.76,2248.78,1,1.06,3,bike
69.92,19455.02,5,29.69,2,car
284.47,5382.43,3,21.03,5,car
209.21,18007.77,4,21.17,1,car
10.12,2052.32,1,6.73,4,bike
201.51,21949.55,5,28.32,5,car
305.6,10038.55,3,29.83,5,car
31.5,2562.8,4,13.82,4,bus
208.15,2083.07,2,8.84,3,bus
7.31,2920.95,3,11.39,2,auto
11.97,1885.57,1,6.09,3,bike
220.75,11017.0,2,10.08,1,car
238.53,1905.29,1,19.67,5,bus
16.85,3773.25,2,7.92,4,auto
14.81,2920.53,1,8.94,5,auto
225.87,4588.02,2,17.75,5,bus
13.04,3008.31,3,7.46,2,auto
90.96,23561.3,2,20.69,3,car
55.83,14704.9,2,29.95,2,car
115.97,17145.66,5,17.17,5,car
6.85,722.1,1,4.36,5,bike
3.21,2041.04,3,13.53,5,auto
6.98,2966.79,2,5.47,5,auto
9.06,1438.12,1,7.55,5,auto
21.04,1731.53,1,5.14,4,bus
236.89,7323.94,2,24.46,4,car
1.13,2546.7,1,2.27,4,bike
11.28,2591.0,1,2.51,3,auto
5.53,2802.08,2,2.77,5,auto
12.01,723.53,1,7.03,3,bike
15.36,3767.54,2,4.77,2,auto
5.19,3607.9,2,0.21,4,auto
2.39,1503.74,1,1.63,3,bike
116.02,4077.42,2,6.32,4,bus
247.9,12777.98,4,13.56,5,car
2.3,1142.62,1,6.92,2,bike
107.71,3862.31,3,0.14,4,bus
210.67,4956.96,3,10.78,5,bus
17.31,2401.28,2,6.87,3,auto
13.34,826.76,1,9.93,2,auto
220.87,21475.41,5,1.0,5,car
13.72,3757.14,3,12.5,3,auto
4.36,734.68,1,7.48,2,bike
207.8,2212.48,1,6.84,3,bus
8.79,2391.59,1,1.55,2,bike
7.08,1375.2,1,5.35,2,bike
12.98,2575.55,1,5.34,2,bike
315.8,6698.83,4,8.25,5,car
16.43,3381.42,3,11.31,2,auto
9.45,2170.53,1,3.71,4,bike
149.53,4682.35,2,17.49,4,bus
13.79,3918.69,1,10.23,3,auto
129.39,3996.24,2,10.88,4,bus
241.82,20217.05,3,24.1,2,car
271.63,3054.29,2,18.6,3,bus
187.25,2771.36,3,6.8,5,bus
140.31,4374.37,3,5.11,4,bus
241.22,3773.31,1,2.43,4,bus
9.3,1478.81,1,5.56,2,bike
198.12,13156.99,4,11.37,4,car
196.31,2872.72,5,18.12,5,bus
8.66,3430.98,3,3.18,2,auto
211.14,10628.73,3,9.28,2,car
280.31,6670.8,3,16.14,5,car
142.61,4797.97,2,2.01,3,bus
7.31,3301.22,2,9.42,4,auto
11.32,1780.55,1,0.33,2,bike
111.23,14738.12,5,19.08,4,car
12.76,1459.58,1,4.7,2,bike
6.61,1899.1,1,1.46,2,bike
177.4,3487.17,1,19.09,3,bus
9.16,1229.68,3,7.94,4,auto
244.85,2868.68,2,16.06,4,bus
10.84,2464.54,1,11.63,3,auto
14.52,3976.05,1,13.11,3,auto
114.18,3640.37,1,3.14,4,bus
16.11,3405.2,2,1.66,2,auto
213.04,2277.09,2,2.6,3,bus
13.14,1385.37,1,0.84,4,bike
41.45,3988.15,3,9.79,5,bus
10.91,551.46,2,6.66,3,bike
190.71,5117.94,1,7.94,4,bus
185.36,14011.83,3,19.2,2,car
71.66,10771.45,2,27.43,2,car
8.32,2175.24,2,4.26,5,bike
145.19,12735.78,3,13.72,1,car
160.62,8049.63,5,14.57,2,car
10.17,2979.36,1,0.62,4,bike
1.81,686.74,2,7.92,4,bike
6.58,865.93,1,0.55,3,bike
8.25,1307.77,1,9.08,2,auto
148.39,3540.66,2,17.72,3,bus
1.79,2631.82,1,3.02,5,bike
13.15,2908.09,1,5.85,4,bike
11.33,1630.54,1,3.62,4,bike
16.3,1038.84,3,14.95,5,auto
11.91,1375.31,1,7.75,2,bike
6.11,3373.11,2,14.92,4,auto
12.02,2937.09,1,3.43,2,bike
2.24,2013.1,2,0.29,5,auto
13.13,2754.47,1,0.83,4,auto
104.44,1847.36,4,2.88,3,bus
197.3,4168.17,4,10.29,2,car
11.72,2471.12,1,2.08,2,bike
6.76,1094.61,2,9.35,4,auto
2.51,2213.25,1,7.72,4,bike
5.37,1301.86,1,5.97,4,bike
155.21,2756.47,4,5.04,3,bus
119.04,16930.25,2,16.17,2,car
195.65,3122.64,5,3.74,3,bus
8.71,717.47,1,2.98,5,bike
11.47,1894.53,1,0.43,5,bike
132.27,2578.19,5,2.1,4,bus
195.85,4734.73,2,11.95,5,bus
15.81,2502.05,2,4.45,3,auto
12.6,1577.22,1,4.94,2,bike
3.52,1807.74,1,2.65,4,auto
7.78,2385.63,1,2.38,4,bike
132.47,11913.02,4,25.08,4,car
2.75,1463.44,1,6.24,3,bike
284.03,13067.91,3,11.95,4,car
16.24,1906.81,1,0.38,5,auto
2.54,3613.39,1,8.36,5,auto
9.51,2217.79,2,12.92,3,auto
71.64,3238.82,3,15.19,4,bus
2.79,1345.67,2,1.8,2,bike
185.55,7096.53,5,3.11,5,car
9.34,3144.75,2,10.09,3,auto
215.81,7596.74,5,0.41,2,car
8.32,926.27,2,8.15,4,auto
10.71,1547.97,2,12.3,3,auto
182.0,5101.04,3,10.02,5,bus
177.64,14037.99,4,17.78,1,car
66.86,11762.51,4,27.33,1,car
91.64,2831.85,2,15.13,5,bus
5.69,2507.13,1,2.67,4,bike
206.5,22960.41,3,28.51,4,car
278.81,2036.74,2,9.49,5,bus
8.98,2406.15,2,2.74,3,bike
7.33,2108.94,1,5.85,4,bike
7.33,3145.76,2,11.9,4,auto
120.65,4862.66,1,18.03,4,bus
290.23,15644.27,4,0.8,2,car
240.85,17298.65,4,12.68,5,car
14.7,1306.57,1,8.36,2,auto
6.88,2096.31,1,2.19,4,bike
122.39,5963.92,5,4.77,3,car
254.2,3470.09,2,8.04,3,bus
109.65,11938.52,2,19.44,5,car
9.79,2185.76,1,5.77,4,bike
100.77,17667.39,4,5.85,2,car
14.06,1451.73,2,8.2,2,auto
10.21,3965.5,1,14.14,3,auto
17.62,2987.05,2,12.0,5,auto
2.95,2732.15,2,1.72,3,auto
5.78,1450.49,1,4.64,5,bike
8.78,3339.43,1,11.73,5,auto
48.53,5100.04,5,15.2,4,bus
193.97,4234.23,1,14.99,4,bus
57.74,22045.99,5,11.94,4,car
3.31,539.09,1,3.16,5,bike
2.13,3758.6,2,8.3,2,auto
16.95,3005.08,3,8.34,5,auto
132.67,21051.61,5,9.27,5,car
167.16,22132.03,3,7.95,4,car
11.64,2437.24,1,4.32,3,auto
3.61,735.09,1,6.06,2,bike
298.56,14299.38,3,12.34,5,car
6.69,1309.98,1,5.07,2,bike
135.11,3001.21,4,19.67,5,bus
209.16,3290.02,2,17.32,5,bus
241.74,2810.38,5,14.38,5,bus
244.76,4546.16,3,1.8,5,bus
13.12,2615.65,2,11.03,5,auto
13.7,3031.28,2,6.98,3,auto
331.56,14117.87,3,4.51,1,car
51.99,12809.79,5,21.62,4,car
346.07,12165.88,5,28.63,4,car
12.11,2646.53,2,0.09,4,auto
3.64,1197.18,1,6.77,5,bike
1.44,2129.17,1,6.91,5,bike
144.56,3200.72,2,18.34,5,bus
7.08,1134.21,1,4.57,5,bike
213.66,4577.55,1,2.06,4,bus
122.96,24460.4,3,15.53,2,car
95.94,18116.21,5,3.09,3,car
5.12,2989.58,1,3.07,4,bike
302.87,6310.37,3,10.3,3,car
14.85,2065.44,1,6.71,5,bike
161.01,13497.76,4,14.87,3,car
14.51,1803.86,1,10.47,5,auto
17.98,1845.25,2,12.1,3,auto
12.55,1148.46,2,7.47,5,auto
77.67,1004.25,2,0.44,5,bus
216.46,17764.52,2,16.29,5,car
14.57,2687.83,1,11.59,2,auto
278.21,1638.97,4,14.51,5,bus
14.37,2344.74,1,4.89,4,bike
194.75,3133.34,2,5.36,3,bus
82.46,3455.51,5,18.91,3,bus
206.47,4701.96,5,19.07,3,bus
37.18,4215.53,4,3.77,3,bus
12.81,1134.94,1,5.91,3,bike
260.7,1759.65,5,9.66,4,bus
10.1,2829.13,1,3.82,2,auto
260.3,1767.71,4,9.28,3,bus
263.64,14704.45,4,4.23,5,car
154.59,12093.84,2,11.74,1,car
123.96,3257.65,3,6.11,4,bus
296.88,16971.59,5,20.95,2,car
274.17,4283.97,4,16.7,4,bus
4.54,1398.13,1,4.84,4,bike
15.03,1697.07,1,6.6,5,auto
4.65,673.14,2,3.83,4,bike
241.57,1904.1,5,5.78,5,bus
196.1,21841.6,2,21.95,5,car
13.37,1605.06,1,3.59,5,bike
8.95,2788.72,1,5.58,2,bike
124.76,8413.69,3,5.5,2,car
10.09,3811.59,3,1.54,2,auto
294.43,20795.02,2,25.87,3,car
93.55,4452.76,2,5.17,4,bus
130.82,7599.36,3,18.09,3,car
4.44,901.7,1,2.28,4,bike
164.67,4149.03,5,26.63,3,car
349.63,24731.5,5,18.19,2,car
8.14,2932.06,3,3.39,5,auto
7.3,2962.12,2,11.34,3,auto
10.5,1721.43,2,4.5,5,auto
10.42,2282.15,1,4.55,4,auto
2.05,2848.63,1,3.61,4,auto
57.99,2170.22,5,18.86,4,bus
249.86,2929.98,3,18.12,4,bus
146.91,4839.29,1,1.58,3,bus
205.85,1532.07,3,1.15,5,bus
170.67,1317.48,3,18.93,5,bus
5.91,583.01,1,3.18,3,bike
312.09,11945.3,4,10.69,2,car
296.33,4395.56,2,10.77,4,bus
11.52,831.76,2,14.45,5,auto
11.91,1397.25,1,4.27,5,auto
108.84,3176.71,1,0.17,4,bus
191.41,10368.9,4,0.16,5,car
213.48,21547.01,3,19.63,1,car
103.52,4489.77,5,2.79,4,bus
262.53,3246.34,2,5.3,5,bus
15.93,3336.3,2,11.25,3,auto
12.78,3510.04,2,10.15,2,auto
327.67,22033.59,2,10.11,4,car
33.8,2738.29,1,14.95,5,bus
7.8,3563.65,1,13.88,5,auto
5.28,3122.01,2,13.44,2,auto
31.47,16043.49,3,16.79,5,car
28.0,7922.22,2,11.06,3,car
227.57,4724.25,2,17.8,3,bus
79.92,2274.78,4,7.21,5,bus
7.3,1046.11,1,0.55,2,bike
21.36,2857.05,4,1.57,4,bus
5.12,2779.59,2,1.48,4,bike
315.87,19363.69,5,15.2,3,car
10.11,1832.39,1,2.66,3,bike
271.27,1537.21,4,16.84,4,bus
11.76,1544.42,1,5.9,3,bike
12.89,2293.7,1,14.54,4,auto
292.56,20553.78,2,15.41,5,car
329.25,7215.83,3,14.43,1,car
1.26,2785.75,1,4.61,3,bike
62.96,2649.48,2,3.03,4,bus
328.17,21534.09,3,14.18,5,car
14.86,850.21,1,7.02,2,bike
12.17,1090.31,1,0.87,4,auto
225.21,20472.57,2,7.88,5,car
137.31,16841.39,4,1.88,2,car
120.12,6978.73,2,22.16,1,car
7.65,1456.32,1,7.79,3,bike
17.53,1640.56,1,7.09,2,auto
274.78,4227.68,1,15.96,5,bus
206.67,3805.21,4,9.8,4,bus
269.06,16726.29,3,1.51,5,car
256.56,2618.54,1,3.66,3,bus
275.7,2745.88,3,2.67,4,bus
58.32,1313.74,4,18.45,5,bus
176.47,5479.67,2,14.36,2,car
15.0,2991.59,1,6.15,2,bike
226.31,3254.68,3,2.74,3,bus
308.56,4399.91,3,5.56,2,car
2.16,2835.51,3,9.19,5,auto
10.51,3615.56,2,0.45,5,auto
9.76,2551.07,1,1.65,2,bike
4.41,3525.1,3,10.9,4,auto
210.53,5192.64,5,18.69,4,bus
3.13,653.37,1,3.68,3,bike
105.69,1286.58,3,17.23,4,bus
229.56,9448.43,4,11.52,1,car
12.4,1204.64,1,5.57,2,bike
258.04,5702.25,2,12.11,1,car
6.26,1242.17,1,2.63,2,bike
8.2,1981.04,1,4.86,2,bike
13.59,3186.41,2,8.77,3,auto
253.15,24440.7,5,22.58,3,car
3.44,2722.92,2,13.76,5,auto
8.9,1774.38,1,0.99,2,auto
11.15,977.98,1,2.47,2,bike
13.85,1200.09,2,2.34,4,bike
166.91,3877.19,1,18.14,5,bus
14.68,1002.15,1,6.57,3,bike
12.37,996.63,3,14.11,3,auto
153.97,20125.08,5,4.66,5,car
281.29,3868.31,2,10.66,4,bus
195.13,1696.86,1,4.18,4,bus
3.79,2452.56,2,14.14,3,auto
210.1,6663.72,4,12.43,2,car
194.08,18177.73,5,6.66,5,car
159.11,22375.18,3,12.95,5,car
40.84,10430.11,4,3.12,5,car
170.94,23807.11,4,28.1,4,car
155.87,4500.59,5,7.52,4,bus
180.24,16161.73,2,3.17,3,car
2.53,2126.28,1,7.41,4,bike
11.21,2413.78,1,4.88,5,bike
16.74,2666.21,2,5.32,3,auto
172.74,1931.76,1,1.8,3,bus
214.02,5443.16,1,2.09,3,bus
140.14,18069.37,5,27.41,3,car
2.43,2796.88,1,0.18,4,bike
211.72,1954.37,3,12.71,5,bus
14.23,2110.95,2,3.9,3,auto
3.48,2376.54,1,7.92,5,bike
67.37,13177.71,3,18.23,2,car
198.12,15623.3,2,13.47,5,car
13.07,1650.41,1,2.32,4,bike
204.99,15784.17,3,11.21,5,car
6.18,538.64,2,3.43,2,bike
199.14,22013.05,4,13.79,2,car
15.2,2450.11,2,0.68,5,auto
5.27,2463.05,1,9.08,3,auto
