spot_name,district,category,year,month,season,festival,total_visitors,estimated_visitors
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2024,September,Monsoon,"Ganesh Chaturthi, Engili Pula Bathukamma (start)",273,273
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2024,October,Post-Monsoon,"Bathukamma (Saddula Bathukamma), Dussehra/Vijayadashami",408,408
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2024,November,Post-Monsoon,Diwali/Deepavali,394,394
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2024,December,Winter,Christmas,414,414
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2025,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",427,427
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2025,February,Winter,Maha Shivaratri,428,428
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2025,March,Summer,"Holi, Ugadi, Eid-ul-Fitr",341,341
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2025,April,Summer,"Sri Rama Navami, Ambedkar Jayanti",337,337
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2025,May,Summer,May Day,421,421
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2025,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",261,261
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2025,July,Monsoon,Bonalu,250,250
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2025,August,Monsoon,"Krishna Ashtami, Vinayaka Chavithi, Independence Day",269,269
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2025,September,Monsoon,Bathukamma (Engili Pula to Saddula),270,270
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2025,October,Post-Monsoon,"Vijaya Dasami/Dussehra, Diwali/Deepavali",405,405
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2025,November,Post-Monsoon,No Major Festival / Public Holiday,415,415
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2025,December,Winter,Christmas,437,437
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2024,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",47889,47889
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2024,February,Winter,No Major Festival / Public Holiday,27765,27765
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2024,March,Summer,"Maha Shivaratri, Holi",21669,21669
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2024,April,Summer,"Ugadi, Sri Rama Navami, Eid-ul-Fitr, Ambedkar Jayanti",21326,21326
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2024,May,Summer,May Day,21767,21767
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2024,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",13999,13999
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2024,July,Monsoon,Bonalu,41148,41148
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2024,August,Monsoon,"Raksha Bandhan, Krishna Janmashtami, Independence Day",14101,14101
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2024,September,Monsoon,"Ganesh Chaturthi, Engili Pula Bathukamma (start)",41975,41975
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2024,October,Post-Monsoon,"Bathukamma (Saddula Bathukamma), Dussehra/Vijayadashami",59764,59764
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2024,November,Post-Monsoon,Diwali/Deepavali,21675,21675
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2024,December,Winter,Christmas,22606,22606
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2025,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",51326,51326
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2025,February,Winter,Maha Shivaratri,23569,23569
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2025,March,Summer,"Holi, Ugadi, Eid-ul-Fitr",21744,21744
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2025,April,Summer,"Sri Rama Navami, Ambedkar Jayanti",16299,16299
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2025,May,Summer,May Day,20024,20024
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2025,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",13381,13381
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2025,July,Monsoon,Bonalu,42045,42045
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2025,August,Monsoon,"Krishna Ashtami, Vinayaka Chavithi, Independence Day",14084,14084
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2025,September,Monsoon,Bathukamma (Engili Pula to Saddula),38103,38103
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2025,October,Post-Monsoon,"Vijaya Dasami/Dussehra, Diwali/Deepavali",51816,51816
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2025,November,Post-Monsoon,No Major Festival / Public Holiday,26643,26643
Alampur Jogulamba Temple,Jogulamba Gadwal,Temple,2025,December,Winter,Christmas,21749,21749
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2024,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",487,487
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2024,February,Winter,No Major Festival / Public Holiday,472,472
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2024,March,Summer,"Maha Shivaratri, Holi",384,384
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2024,April,Summer,"Ugadi, Sri Rama Navami, Eid-ul-Fitr, Ambedkar Jayanti",380,380
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2024,May,Summer,May Day,435,435
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2024,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",292,292
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2024,July,Monsoon,Bonalu,314,314
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2024,August,Monsoon,"Raksha Bandhan, Krishna Janmashtami, Independence Day",290,290
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2024,September,Monsoon,"Ganesh Chaturthi, Engili Pula Bathukamma (start)",287,287
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2024,October,Post-Monsoon,"Bathukamma (Saddula Bathukamma), Dussehra/Vijayadashami",459,459
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2024,November,Post-Monsoon,Diwali/Deepavali,486,486
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2024,December,Winter,Christmas,484,484
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2025,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",510,510
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2025,February,Winter,Maha Shivaratri,515,515
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2025,March,Summer,"Holi, Ugadi, Eid-ul-Fitr",368,368
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2025,April,Summer,"Sri Rama Navami, Ambedkar Jayanti",390,390
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2025,May,Summer,May Day,452,452
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2025,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",304,304
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2025,July,Monsoon,Bonalu,304,304
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2025,August,Monsoon,"Krishna Ashtami, Vinayaka Chavithi, Independence Day",301,301
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2025,September,Monsoon,Bathukamma (Engili Pula to Saddula),285,285
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2025,October,Post-Monsoon,"Vijaya Dasami/Dussehra, Diwali/Deepavali",478,478
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2025,November,Post-Monsoon,No Major Festival / Public Holiday,450,450
Ali Sagar Dam,Nizamabad,Lake/Reservoir,2025,December,Winter,Christmas,481,481
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2024,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",735,735
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2024,February,Winter,No Major Festival / Public Holiday,715,715
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2024,March,Summer,"Maha Shivaratri, Holi",599,599
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2024,April,Summer,"Ugadi, Sri Rama Navami, Eid-ul-Fitr, Ambedkar Jayanti",595,595
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2024,May,Summer,May Day,669,669
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2024,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",458,458
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2024,July,Monsoon,Bonalu,467,467
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2024,August,Monsoon,"Raksha Bandhan, Krishna Janmashtami, Independence Day",452,452
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2024,September,Monsoon,"Ganesh Chaturthi, Engili Pula Bathukamma (start)",451,451
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2024,October,Post-Monsoon,"Bathukamma (Saddula Bathukamma), Dussehra/Vijayadashami",668,668
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2024,November,Post-Monsoon,Diwali/Deepavali,656,656
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2024,December,Winter,Christmas,785,785
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2025,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",786,786
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2025,February,Winter,Maha Shivaratri,761,761
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2025,March,Summer,"Holi, Ugadi, Eid-ul-Fitr",558,558
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2025,April,Summer,"Sri Rama Navami, Ambedkar Jayanti",559,559
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2025,May,Summer,May Day,708,708
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2025,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",471,471
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2025,July,Monsoon,Bonalu,470,470
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2025,August,Monsoon,"Krishna Ashtami, Vinayaka Chavithi, Independence Day",465,465
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2025,September,Monsoon,Bathukamma (Engili Pula to Saddula),457,457
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2025,October,Post-Monsoon,"Vijaya Dasami/Dussehra, Diwali/Deepavali",655,655
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2025,November,Post-Monsoon,No Major Festival / Public Holiday,661,661
Alisagar Deer Park,Nizamabad,Lake/Reservoir,2025,December,Winter,Christmas,785,785
Ameenpur Lake,Sangareddy,Lake/Reservoir,2024,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",979,979
Ameenpur Lake,Sangareddy,Lake/Reservoir,2024,February,Winter,No Major Festival / Public Holiday,1029,1029
Ameenpur Lake,Sangareddy,Lake/Reservoir,2024,March,Summer,"Maha Shivaratri, Holi",773,773
Ameenpur Lake,Sangareddy,Lake/Reservoir,2024,April,Summer,"Ugadi, Sri Rama Navami, Eid-ul-Fitr, Ambedkar Jayanti",791,791
Ameenpur Lake,Sangareddy,Lake/Reservoir,2024,May,Summer,May Day,937,937
Ameenpur Lake,Sangareddy,Lake/Reservoir,2024,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",604,604
Ameenpur Lake,Sangareddy,Lake/Reservoir,2024,July,Monsoon,Bonalu,570,570
Ameenpur Lake,Sangareddy,Lake/Reservoir,2024,August,Monsoon,"Raksha Bandhan, Krishna Janmashtami, Independence Day",590,590
Ameenpur Lake,Sangareddy,Lake/Reservoir,2024,September,Monsoon,"Ganesh Chaturthi, Engili Pula Bathukamma (start)",583,583
Ameenpur Lake,Sangareddy,Lake/Reservoir,2024,October,Post-Monsoon,"Bathukamma (Saddula Bathukamma), Dussehra/Vijayadashami",891,891
Ameenpur Lake,Sangareddy,Lake/Reservoir,2024,November,Post-Monsoon,Diwali/Deepavali,972,972
Ameenpur Lake,Sangareddy,Lake/Reservoir,2024,December,Winter,Christmas,987,987
Ameenpur Lake,Sangareddy,Lake/Reservoir,2025,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",1047,1047
Ameenpur Lake,Sangareddy,Lake/Reservoir,2025,February,Winter,Maha Shivaratri,1015,1015
Ameenpur Lake,Sangareddy,Lake/Reservoir,2025,March,Summer,"Holi, Ugadi, Eid-ul-Fitr",786,786
Ameenpur Lake,Sangareddy,Lake/Reservoir,2025,April,Summer,"Sri Rama Navami, Ambedkar Jayanti",760,760
Ameenpur Lake,Sangareddy,Lake/Reservoir,2025,May,Summer,May Day,928,928
Ameenpur Lake,Sangareddy,Lake/Reservoir,2025,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",599,599
Ameenpur Lake,Sangareddy,Lake/Reservoir,2025,July,Monsoon,Bonalu,578,578
Ameenpur Lake,Sangareddy,Lake/Reservoir,2025,August,Monsoon,"Krishna Ashtami, Vinayaka Chavithi, Independence Day",616,616
Ameenpur Lake,Sangareddy,Lake/Reservoir,2025,September,Monsoon,Bathukamma (Engili Pula to Saddula),584,584
Ameenpur Lake,Sangareddy,Lake/Reservoir,2025,October,Post-Monsoon,"Vijaya Dasami/Dussehra, Diwali/Deepavali",867,867
Ameenpur Lake,Sangareddy,Lake/Reservoir,2025,November,Post-Monsoon,No Major Festival / Public Holiday,936,936
Ameenpur Lake,Sangareddy,Lake/Reservoir,2025,December,Winter,Christmas,961,961
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2024,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",286,286
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2024,February,Winter,No Major Festival / Public Holiday,268,268
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2024,March,Summer,"Maha Shivaratri, Holi",200,200
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2024,April,Summer,"Ugadi, Sri Rama Navami, Eid-ul-Fitr, Ambedkar Jayanti",210,210
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2024,May,Summer,May Day,266,266
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2024,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",168,168
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2024,July,Monsoon,Bonalu,166,166
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2024,August,Monsoon,"Raksha Bandhan, Krishna Janmashtami, Independence Day",157,157
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2024,September,Monsoon,"Ganesh Chaturthi, Engili Pula Bathukamma (start)",167,167
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2024,October,Post-Monsoon,"Bathukamma (Saddula Bathukamma), Dussehra/Vijayadashami",267,267
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2024,November,Post-Monsoon,Diwali/Deepavali,242,242
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2024,December,Winter,Christmas,275,275
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2025,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",287,287
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2025,February,Winter,Maha Shivaratri,282,282
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2025,March,Summer,"Holi, Ugadi, Eid-ul-Fitr",213,213
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2025,April,Summer,"Sri Rama Navami, Ambedkar Jayanti",214,214
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2025,May,Summer,May Day,248,248
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2025,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",160,160
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2025,July,Monsoon,Bonalu,171,171
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2025,August,Monsoon,"Krishna Ashtami, Vinayaka Chavithi, Independence Day",171,171
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2025,September,Monsoon,Bathukamma (Engili Pula to Saddula),172,172
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2025,October,Post-Monsoon,"Vijaya Dasami/Dussehra, Diwali/Deepavali",265,265
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2025,November,Post-Monsoon,No Major Festival / Public Holiday,253,253
Amudalu Gutta,Khammam,Cave/Hill/Viewpoint,2025,December,Winter,Christmas,275,275
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2024,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",1339,1339
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2024,February,Winter,No Major Festival / Public Holiday,821,821
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2024,March,Summer,"Maha Shivaratri, Holi",582,582
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2024,April,Summer,"Ugadi, Sri Rama Navami, Eid-ul-Fitr, Ambedkar Jayanti",583,583
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2024,May,Summer,May Day,597,597
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2024,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",368,368
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2024,July,Monsoon,Bonalu,358,358
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2024,August,Monsoon,"Raksha Bandhan, Krishna Janmashtami, Independence Day",376,376
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2024,September,Monsoon,"Ganesh Chaturthi, Engili Pula Bathukamma (start)",387,387
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2024,October,Post-Monsoon,"Bathukamma (Saddula Bathukamma), Dussehra/Vijayadashami",1388,1388
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2024,November,Post-Monsoon,Diwali/Deepavali,583,583
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2024,December,Winter,Christmas,593,593
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2025,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",1301,1301
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2025,February,Winter,Maha Shivaratri,627,627
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2025,March,Summer,"Holi, Ugadi, Eid-ul-Fitr",620,620
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2025,April,Summer,"Sri Rama Navami, Ambedkar Jayanti",482,482
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2025,May,Summer,May Day,590,590
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2025,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",396,396
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2025,July,Monsoon,Bonalu,375,375
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2025,August,Monsoon,"Krishna Ashtami, Vinayaka Chavithi, Independence Day",367,367
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Religious Site - Other,2025,September,Monsoon,Bathukamma (Engili Pula to Saddula),388,388
